TimeNav,Azimuth,GaragNumb,Graph,Latitude,Longitude,Marsh,Speed,TimeNav,dist,dist_delta
2020-11-08 12:49:00,85,2775,1,55.832818,49.057932,22,30,2020-11-08 12:49:00,0.07526503946056297,0.0
2020-11-08 12:50:00,88,2775,1,55.832917,49.060793,22,0,2020-11-08 12:50:00,0.07282688188437392,0.002438157576189051
2020-11-08 12:50:00,88,2775,1,55.832917,49.060793,22,0,2020-11-08 12:50:00,0.07282688188437392,0.0
2020-11-08 12:51:00,92,2775,1,55.832923,49.062765,22,7,2020-11-08 12:51:00,0.07113266313726921,0.0016942187471047088
2020-11-08 12:51:00,92,2775,1,55.832923,49.062765,22,7,2020-11-08 12:51:00,0.07113266313726921,0.0
2020-11-08 12:52:00,88,2775,1,55.832928,49.063003,22,1,2020-11-08 12:52:00,0.07093136885750874,0.00020129427976046943
2020-11-08 12:52:00,88,2775,1,55.832928,49.063003,22,1,2020-11-08 12:52:00,0.07093136885750874,0.0
2020-11-08 12:53:00,87,2775,1,55.83316,49.06994,22,14,2020-11-08 12:53:00,0.06522193754404802,0.005709431313460717
2020-11-08 12:53:00,87,2775,1,55.83316,49.06994,22,14,2020-11-08 12:53:00,0.06522193754404802,0.0
2020-11-08 12:54:00,83,2775,1,55.83321,49.072965,22,5,2020-11-08 12:54:00,0.06277983045532813,0.0024421070887198915
2020-11-08 12:54:00,83,2775,1,55.83321,49.072965,22,5,2020-11-08 12:54:00,0.06277983045532813,0.0
2020-11-08 12:55:00,87,2775,1,55.833372999999995,49.079718,22,41,2020-11-08 12:55:00,0.05756154600077772,0.005218284454550408
2020-11-08 12:55:00,87,2775,1,55.833372999999995,49.079718,22,41,2020-11-08 12:55:00,0.05756154600077772,0.0
2020-11-08 12:56:00,155,2775,1,55.830565,49.080478,22,29,2020-11-08 12:56:00,0.05519562962771669,0.002365916373061036
2020-11-08 12:56:00,155,2775,1,55.830565,49.080478,22,29,2020-11-08 12:56:00,0.05519562962771669,0.0
2020-11-08 12:57:00,81,2775,1,55.82944000000001,49.083008,22,16,2020-11-08 12:57:00,0.05251869786086555,0.0026769317668511386
2020-11-08 12:57:00,81,2775,1,55.82944000000001,49.083008,22,16,2020-11-08 12:57:00,0.05251869786086555,0.0
2020-11-08 12:58:00,81,2775,1,55.830502,49.09119000000001,22,20,2020-11-08 12:58:00,0.04722643070357387,0.005292267157291676
2020-11-08 12:58:00,81,2775,1,55.830502,49.09119000000001,22,20,2020-11-08 12:58:00,0.04722643070357387,0.0
2020-11-08 12:59:00,165,2775,1,55.827355000000004,49.093061999999996,22,26,2020-11-08 12:59:00,0.04366339201207953,0.0035630386914943454
2020-11-08 12:59:00,165,2775,1,55.827355000000004,49.093061999999996,22,26,2020-11-08 12:59:00,0.04366339201207953,0.0
2020-11-08 13:00:00,166,2775,1,55.821521999999995,49.095693,22,25,2020-11-08 13:00:00,0.037729165906496075,0.0059342261055834525
2020-11-08 13:00:00,166,2775,1,55.821521999999995,49.095693,22,25,2020-11-08 13:00:00,0.037729165906496075,0.0
2020-11-08 13:01:00,170,2775,1,55.81953000000001,49.096583,22,13,2020-11-08 13:01:00,0.035745802830545376,0.001983363075950699
